country_code	partner_type	partner_code	partner_name	insertion_order_id	insertion_order_name	campaign_id	campaign_name	ad_id	ad_name	advertiser_id	advertiser_name	dsp_code	dsp_name	line_item_id	line_item_name	line_item_type	creative_id	creative_name	creative_size	creative_type	cm_placement_id	placement_id	placement_name	inventory_source_id	inventory_source_name	inventory_source_type	ssp_code	ssp_name	publisher_id	publisher_name	conversion_pixel_id	conversion_pixel_name	package_id	package_name	exchange_id	exchange_name	industry_id	industry_name	sub_industry_name	market	pricing_model	channel_type	device_type	browser	operating_system	carrier	tracking_id	tracking_name	data_type	data_unique_identifier	data_provider_id	data_provider_name	click_thru_url	city	region	dma	country	zip_code	currency	event_datetime	impression_datetime	conversion_datetime	premium	ad_position	impressions	billable_impressions	data_impressions	viewable_impressions	measurable_impressions	clicks	conversions	interactions	interaction_time	post_click_conversions	post_view_conversions	media_cost	media_cost_tax	cpm_fee	data_cost	data_cost_tax	ad_serving_fee	ad_serving_fee_tax	cdn_fee	cdn_fee_tax	platform_fee_tax	platform_fee	agency_fee	agency_fee_tax	total_media_cost	total_cost	revenue	revenue_ecpm	profit	profit_margin	cpm	cpa	cpc	ecpm	ecpa	ecpc	ctr	cpm_rate	cpcv	roi	viewability_impressions_cost	viewability_impressions_cost_tax	rich_media_cost	rich_media_cost_tax	dynamic_creative_cost	dynamic_creative_cost_tax	verification_cost	verification_cost_tax	video_view_rate	video_average_view_time	video_completions	video_plays	video_quartile_view_0	video_quartile_view_25	video_quartile_view_50	video_quartile_view_75	video_quartile_view_100	agency_id	agency_name	campaign_start_date	campaign_end_date
US	FPA	SPEC	Specific Media				Chick-Fil-A_Atlanta_Catering/Nuggets-2.15-3.13														"16635750, 16635749"		15s - Chick-Fil-A - Atlanta -  Mobile 																																					3/10/2016					1438					2																															0.139082058																								
US	FPA	SPEC	Specific Media				Chick-Fil-A_Atlanta_Catering/Nuggets-2.15-3.13														"16635750, 16635749"		15s - Chick-Fil-A - Atlanta -  Mobile 																																					3/11/2016					1435					2																															0.139372822																								
US	FPA	SPEC	Specific Media				Chick-Fil-A_Atlanta_Catering/Nuggets-2.15-3.13														"16635750, 16635749"		15s - Chick-Fil-A - Atlanta -  Mobile 																																					3/12/2016					763					2																															0.262123198																								
US	FPA	SPEC	Specific Media				Chick-Fil-A_Atlanta_Catering/Nuggets-2.15-3.13														"16635750, 16635749"		15s - Chick-Fil-A - Atlanta -  Mobile 																																					3/13/2016					76					2																															2.631578947																								
US	FPA	SPEC	Specific Media				Chick-Fil-A - Pre-roll - Atlanta_SW Salad-3.14-5.31														"16988951, 16635749"		15s - Chick-Fil-A - Atlanta -  Mobile 																																					3/15/2016					193					3																															1.554404145																								
US	FPA	SPEC	Specific Media				Chick-Fil-A - Pre-roll - Atlanta_SW Salad-3.14-5.31														16988951		15s - Chick-Fil-A - Atlanta -  Mobile 																																					3/16/2016					186					2																															1.075268817																								
US	FPA	SPEC	Specific Media				Chick-Fil-A - Pre-roll - Atlanta_SW Salad-3.14-5.31														16988951		15s - Chick-Fil-A - Atlanta -  Mobile 																																					3/17/2016					176					1																															0.568181818																								
US	FPA	SPEC	Specific Media				Chick-Fil-A - Pre-roll - Atlanta_SW Salad-3.14-5.31														16988951		15s - Chick-Fil-A - Atlanta -  Mobile 																																					3/18/2016					506					2																															0.395256917																								
US	FPA	SPEC	Specific Media				Chick-Fil-A - Pre-roll - Atlanta_SW Salad-3.14-5.31														16988951		15s - Chick-Fil-A - Atlanta -  Mobile 																																					3/19/2016					552					1																															0.18115942																								
US	FPA	SPEC	Specific Media				Chick-Fil-A - Pre-roll - Atlanta_SW Salad-3.14-5.31														16988951		15s - Chick-Fil-A - Atlanta -  Mobile 																																					3/20/2016					467					1																															0.214132762																								
US	FPA	SPEC	Specific Media				Chick-Fil-A - Pre-roll - Atlanta_SW Salad-3.14-5.31														16988951		15s - Chick-Fil-A - Atlanta -  Mobile 																																					3/21/2016					495					1																															0.202020202																								
US	FPA	SPEC	Specific Media				Chick-Fil-A - Pre-roll - Atlanta_SW Salad-3.14-5.31														16988951		15s - Chick-Fil-A - Atlanta -  Mobile 																																					3/22/2016					198					1																															0.505050505																								
US	FPA	SPEC	Specific Media				Chick-Fil-A - Pre-roll - Atlanta_SW Salad-3.14-5.31														16988951		15s - Chick-Fil-A - Atlanta -  Mobile 																																					3/23/2016					13					1																															7.692307692																								
US	FPA	SPEC	Specific Media				Chick-Fil-A - Pre-roll - Atlanta_SW Salad-3.14-5.31														16988951		15s - Chick-Fil-A - Atlanta -  Mobile 																																					3/24/2016					1					1																															100																								
US	FPA	SPEC	Specific Media				Chick-Fil-A - Pre-roll - Atlanta_SW Salad-3.14-5.31														16988951		15s - Chick-Fil-A - Atlanta -  Mobile 																																					3/25/2016					4					3																															75																								
US	FPA	SPEC	Specific Media				Chick-Fil-A - Pre-roll - Atlanta_SW Salad-3.14-5.31														16988951		15s - Chick-Fil-A - Atlanta -  Mobile 																																					3/26/2016					0					0																															0																								
US	FPA	SPEC	Specific Media				Chick-Fil-A - Pre-roll - Atlanta_SW Salad-3.14-5.31														16988951		15s - Chick-Fil-A - Atlanta -  Mobile 																																					3/27/2016					0					0																															0																								
US	FPA	SPEC	Specific Media				Chick-Fil-A - Pre-roll - Atlanta_SW Salad-3.14-5.31														16988951		15s - Chick-Fil-A - Atlanta -  Mobile 																																					3/28/2016					24					0																															0																								
US	FPA	SPEC	Specific Media				Chick-Fil-A - Pre-roll - Atlanta_SW Salad-3.14-5.31														16988951		15s - Chick-Fil-A - Atlanta -  Mobile 																																					3/29/2016					18					1																															5.555555556																								
US	FPA	SPEC	Specific Media				Chick-Fil-A - Pre-roll - Atlanta_SW Salad-3.14-5.31														16988951		15s - Chick-Fil-A - Atlanta -  Mobile 																																					3/30/2016					16					2																															12.5																								
US	FPA	SPEC	Specific Media				Chick-Fil-A - Pre-roll - Atlanta_SW Salad-3.14-5.31														16988951		15s - Chick-Fil-A - Atlanta -  Mobile 																																					3/31/2016					6					1																															16.66666667																								
US	FPA	SPEC	Specific Media				Chick-Fil-A - Pre-roll - Atlanta_SW Salad-3.14-5.31														16988951		15s - Chick-Fil-A - Atlanta -  Mobile 																																					4/1/2016					12					0																															0																								
US	FPA	SPEC	Specific Media				Chick-Fil-A - Pre-roll - Atlanta_SW Salad-3.14-5.31														16988951		15s - Chick-Fil-A - Atlanta -  Mobile 																																					4/2/2016					44					3																															6.818181818																								
US	FPA	SPEC	Specific Media				Chick-Fil-A - Pre-roll - Atlanta_SW Salad-3.14-5.31														16988951		15s - Chick-Fil-A - Atlanta -  Mobile 																																					4/3/2016					13					1																															7.692307692																								
US	FPA	SPEC	Specific Media				Chick-Fil-A - Pre-roll - Atlanta_SW Salad-3.14-5.31														16988951		15s - Chick-Fil-A - Atlanta -  Mobile 																																					4/4/2016					9					1																															11.11111111																								
US	FPA	SPEC	Specific Media				Chick-Fil-A - Pre-roll - Atlanta_SW Salad-3.14-5.31														16988951		15s - Chick-Fil-A - Atlanta -  Mobile 																																					4/5/2016					11					1																															9.090909091																								
US	FPA	SPEC	Specific Media				Chick-Fil-A - Pre-roll - Atlanta_SW Salad-3.14-5.31														16988951		15s - Chick-Fil-A - Atlanta -  Mobile 																																					4/6/2016					86					1																															1.162790698																								
US	FPA	SPEC	Specific Media				Chick-Fil-A - Pre-roll - Atlanta_SW Salad-3.14-5.31														16988951		15s - Chick-Fil-A - Atlanta -  Mobile 																																					4/7/2016					101					1																															0.99009901																								
US	FPA	SPEC	Specific Media				Chick-Fil-A - Pre-roll - Atlanta_SW Salad-3.14-5.31														16988951		15s - Chick-Fil-A - Atlanta -  Mobile 																																					4/8/2016					92					2																															2.173913044																								
US	FPA	SPEC	Specific Media				Chick-Fil-A - Pre-roll - Atlanta_SW Salad-3.14-5.31														16988951		15s - Chick-Fil-A - Atlanta -  Mobile 																																					4/9/2016					135					1																															0.740740741																								
US	FPA	SPEC	Specific Media				Chick-Fil-A - Pre-roll - Atlanta_SW Salad-3.14-5.31														16988951		15s - Chick-Fil-A - Atlanta -  Mobile 																																					4/10/2016					100					1																															1																								
US	FPA	SPEC	Specific Media				Chick-Fil-A - Pre-roll - Atlanta_SW Salad-3.14-5.31														16988951		15s - Chick-Fil-A - Atlanta -  Mobile 																																					4/11/2016					106					1																															0.943396226																								
US	FPA	SPEC	Specific Media				Chick-Fil-A - Pre-roll - Atlanta_SW Salad-3.14-5.31														16988951		15s - Chick-Fil-A - Atlanta -  Mobile 																																					4/12/2016					72					1																															1.388888889																								
US	FPA	SPEC	Specific Media				Chick-Fil-A - Pre-roll - Atlanta_SW Salad-3.14-5.31														16988951		15s - Chick-Fil-A - Atlanta -  Mobile 																																					4/13/2016					1					3																															100																								
US	FPA	SPEC	Specific Media				Chick-Fil-A - Pre-roll - Atlanta_SW Salad-3.14-5.31														16988951		15s - Chick-Fil-A - Atlanta -  Mobile 																																					4/14/2016					171					2																															1.169590643																								
US	FPA	SPEC	Specific Media				Chick-Fil-A - Pre-roll - Atlanta_SW Salad-3.14-5.31														16988951		15s - Chick-Fil-A - Atlanta -  Mobile 																																					4/15/2016					96					1																															1.041666667																								
US	FPA	SPEC	Specific Media				Chick-Fil-A - Pre-roll - Atlanta_SW Salad-3.14-5.31														16988951		15s - Chick-Fil-A - Atlanta -  Mobile 																																					4/16/2016					95					1																															1.052631579																								
US	FPA	SPEC	Specific Media				Chick-Fil-A - Pre-roll - Atlanta_SW Salad-3.14-5.31														16988951		15s - Chick-Fil-A - Atlanta -  Mobile 																																					4/17/2016					94					1																															1.063829787																								
US	FPA	SPEC	Specific Media				Chick-Fil-A - Pre-roll - Atlanta_SW Salad-3.14-5.31														16988951		15s - Chick-Fil-A - Atlanta -  Mobile 																																					4/18/2016					102					1																															0.980392157																								
US	FPA	SPEC	Specific Media				Chick-Fil-A - Pre-roll - Atlanta_SW Salad-3.14-5.31														16988951		15s - Chick-Fil-A - Atlanta -  Mobile 																																					4/19/2016					109					1																															0.917431193																								
US	FPA	SPEC	Specific Media				Chick-Fil-A - Pre-roll - Atlanta_SW Salad-3.14-5.31														16988951		15s - Chick-Fil-A - Atlanta -  Mobile 																																					4/20/2016					102					3																															2.941176471																								
US	FPA	SPEC	Specific Media				Chick-Fil-A - Pre-roll - Atlanta_SW Salad-3.14-5.31														16988951		15s - Chick-Fil-A - Atlanta -  Mobile 																																					4/21/2016					136					2																															1.470588235																								
US	FPA	SPEC	Specific Media				Chick-Fil-A - Pre-roll - Atlanta_SW Salad-3.14-5.31														16988951		15s - Chick-Fil-A - Atlanta -  Mobile 																																					4/22/2016					128					3																															2.34375																								
US	FPA	SPEC	Specific Media				Chick-Fil-A - Pre-roll - Atlanta_SW Salad-3.14-5.31														16988951		15s - Chick-Fil-A - Atlanta -  Mobile 																																					4/23/2016					96					3																															3.125																								
US	FPA	SPEC	Specific Media				Chick-Fil-A - Pre-roll - Atlanta_SW Salad-3.14-5.31														16988951		15s - Chick-Fil-A - Atlanta -  Mobile 																																					4/24/2016					97					3																															3.092783505																								
